timestamp,zone,visitor_count
2026-06-11 10:35:30.627669,FoodCourt,58
2026-06-11 10:36:30.627669,Cinema,86
2026-06-11 10:37:30.627669,FashionArea,442
2026-06-11 10:38:30.627669,FoodCourt,169
2026-06-11 10:39:30.627669,FoodCourt,397
2026-06-11 10:40:30.627669,FoodCourt,161
2026-06-11 10:41:30.627669,FashionArea,92
2026-06-11 10:42:30.627669,FoodCourt,261
2026-06-11 10:43:30.627669,FoodCourt,225
2026-06-11 10:44:30.627669,FashionArea,392
2026-06-11 10:45:30.627669,Cinema,40
2026-06-11 10:46:30.627669,FoodCourt,119
2026-06-11 10:47:30.627669,FashionArea,382
2026-06-11 10:48:30.627669,FashionArea,160
2026-06-11 10:49:30.627669,Cinema,404
2026-06-11 10:50:30.627669,FashionArea,125
2026-06-11 10:51:30.627669,FashionArea,104
2026-06-11 10:52:30.627669,FashionArea,347
2026-06-11 10:53:30.627669,FoodCourt,138
2026-06-11 10:54:30.627669,FoodCourt,391
2026-06-11 10:55:30.627669,FashionArea,182
2026-06-11 10:56:30.627669,FoodCourt,24
2026-06-11 10:57:30.627669,FoodCourt,175
2026-06-11 10:58:30.627669,Cinema,63
2026-06-11 10:59:30.627669,FoodCourt,135
2026-06-11 11:00:30.627669,Cinema,462
2026-06-11 11:01:30.627669,FoodCourt,313
2026-06-11 11:02:30.627669,FoodCourt,143
2026-06-11 11:03:30.627669,FoodCourt,298
2026-06-11 11:04:30.627669,FoodCourt,316
2026-06-11 11:05:30.627669,FoodCourt,237
2026-06-11 11:06:30.627669,Cinema,200
2026-06-11 11:07:30.627669,FoodCourt,253
2026-06-11 11:08:30.627669,FoodCourt,458
2026-06-11 11:09:30.627669,Cinema,435
2026-06-11 11:10:30.627669,FashionArea,180
2026-06-11 11:11:30.627669,FashionArea,156
2026-06-11 11:12:30.627669,FoodCourt,331
2026-06-11 11:13:30.627669,FashionArea,471
2026-06-11 11:14:30.627669,FoodCourt,246
2026-06-11 11:15:30.627669,FashionArea,78
2026-06-11 11:16:30.627669,FoodCourt,284
2026-06-11 11:17:30.627669,Cinema,117
2026-06-11 11:18:30.627669,Cinema,31
2026-06-11 11:19:30.627669,FashionArea,74
2026-06-11 11:20:30.627669,FoodCourt,368
2026-06-11 11:21:30.627669,FashionArea,218
2026-06-11 11:22:30.627669,FoodCourt,339
2026-06-11 11:23:30.627669,FoodCourt,490
2026-06-11 11:24:30.627669,Cinema,30
2026-06-11 11:25:30.627669,FoodCourt,202
2026-06-11 11:26:30.627669,FashionArea,266
2026-06-11 11:27:30.627669,FashionArea,55
2026-06-11 11:28:30.627669,FoodCourt,311
2026-06-11 11:29:30.627669,FashionArea,240
2026-06-11 11:30:30.627669,FashionArea,416
2026-06-11 11:31:30.627669,FoodCourt,84
2026-06-11 11:32:30.627669,FoodCourt,238
2026-06-11 11:33:30.627669,FashionArea,499
2026-06-11 11:34:30.627669,FashionArea,324
2026-06-11 11:35:30.627669,FashionArea,76
2026-06-11 11:36:30.627669,FashionArea,215
2026-06-11 11:37:30.627669,FashionArea,185
2026-06-11 11:38:30.627669,FoodCourt,96
2026-06-11 11:39:30.627669,FoodCourt,263
2026-06-11 11:40:30.627669,FashionArea,441
2026-06-11 11:41:30.627669,FoodCourt,162
2026-06-11 11:42:30.627669,FoodCourt,214
2026-06-11 11:43:30.627669,FashionArea,435
2026-06-11 11:44:30.627669,FashionArea,320
2026-06-11 11:45:30.627669,Cinema,302
2026-06-11 11:46:30.627669,FashionArea,230
2026-06-11 11:47:30.627669,Cinema,497
2026-06-11 11:48:30.627669,FoodCourt,160
2026-06-11 11:49:30.627669,Cinema,458
2026-06-11 11:50:30.627669,FoodCourt,224
2026-06-11 11:51:30.627669,Cinema,58
2026-06-11 11:52:30.627669,FoodCourt,230
2026-06-11 11:53:30.627669,FoodCourt,260
2026-06-11 11:54:30.627669,FashionArea,321
2026-06-11 11:55:30.627669,FashionArea,79
2026-06-11 11:56:30.627669,FashionArea,487
2026-06-11 11:57:30.627669,Cinema,462
2026-06-11 11:58:30.627669,Cinema,196
2026-06-11 11:59:30.627669,FashionArea,98
2026-06-11 12:00:30.627669,FoodCourt,473
2026-06-11 12:01:30.627669,FoodCourt,499
2026-06-11 12:02:30.627669,Cinema,88
2026-06-11 12:03:30.627669,Cinema,215
2026-06-11 12:04:30.627669,FashionArea,201
2026-06-11 12:05:30.627669,Cinema,191
